pID,CS_Type,Connection 1,Connection 2,Connection 3,Connection 4,Connection 5,Connection 6,Connection 7,Connection 8,Connection 9,Connection 10,Connection 11,Connection 12,Connection 13,Connection 14,Connection 15,Connection 16,Connection 17,Connection 18,Connection 19,Connection 20,Connection 21,Connection 22,Connection 23,Connection 24,Connection 25,Connection 26,Connection 27,Connection 28,Connection 29,Connection 30
1,CSm,-0.6430401511,-0.02250183739,-0.2186679731,0.01320194905,0.3627408823,-0.4771885369,-0.1624296376,0.06192244783,-0.1091565627,-0.4910715587,-0.2851597633,-3.068587023,-0.4585494538,0.1142710495,1.175253703,-0.4495554892,0.1680662939,-0.06725359663,0.1060738351,0.3729042774,0.01178471595,-0.1007695508,0.005098316127,0.05394739866,0.4323233967,0.2724711856,-0.5045728576,0.07121914362,0.1755048133,0.4759776437
2,CSm,0.1651795677,-0.1354554649,-0.1500802181,0.4706352484,0.2651152846,0.1094747889,0.01817439341,-0.05461404904,0.07374650257,0.2478520454,-3.054908091,0.7137783506,1.132877514,-1.591430303,-3.266516999,-1.588923056,-0.3566815144,0.5092415099,-1.343935195,-2.272337199,0.2785666357,0.07364402626,-0.0417782184,-0.07373015653,0.55609869,0.09459985493,0.09538752534,-0.05395701871,-0.08520686538,0.3133896704
3,CSm,-0.03877194817,-0.07164451794,-0.105945106,-0.1588215534,0.3362573984,-0.0112170146,-0.01924119531,0.04789251064,0.2967256152,0.02896060661,-0.2843365178,-0.1676726306,0.1526688852,1.235863563,-0.103439387,-0.199222121,0.2634618736,0.0582979566,0.6335653021,-0.02480697538,-0.07664938256,0.2802384964,0.1044737938,0.1115403734,0.368375202,0.1250322083,0.02749632041,-0.01159873291,-0.006935735776,0.2933355514
4,CSm,0.6626738726,-0.06776110623,-0.3481974449,0.5035188032,0.2016500454,0.4522956828,0.2022811949,-0.02132719923,0.5318594816,0.3241148238,-0.2756342853,0.9474795986,1.057145194,0.5412091212,0.4349837508,-0.5308873006,-0.03643572633,0.4371051736,0.1018758131,0.04747144617,0.1218627501,0.2550043995,0.05030789103,0.0205780163,1.016159455,0.01692855563,0.1155818676,0.03181893445,0.007166207807,0.7620678462
5,CSm,0.1827682374,-0.07137179914,0.239258581,0.1423533638,0.1749883947,0.2714919405,-0.04718517177,-0.03163409857,0.655835061,0.5863151292,-0.8969116379,-0.4106379378,-0.5617207089,1.323066143,1.700049296,2.139926047,-0.1626574666,-0.4202660092,0.5567048834,-0.5887821157,0.1196007676,0.3839672266,0.08411013355,0.0585648241,0.6465994204,0.1456064275,0.3085293057,0.1005853769,-0.0527948938,0.6212291237
6,CSm,0.4666772848,0.04700584941,-0.002977269665,1.055413106,1.146621326,0.3798020704,-0.09194626994,0.1510930604,0.9433083089,1.042700583,0.2959658736,-1.181943049,-0.1699136209,-0.3386615728,0.5869875423,-0.0007917861934,0.3061999058,-0.02568510842,0.1457544016,1.094460377,0.3624114927,0.3907637887,0.004687829658,0.03475834965,1.210624692,0.1941174481,0.2154820135,0.0153188302,0.1197443308,0.5937362852
7,CSm,1.155000983,0.4303476153,0.5433634339,0.7157355451,1.211754864,0.7443506227,0.2102564444,0.3897347816,0.3606148141,0.9686971032,1.308745738,0.9628722875,0.6356029809,1.737546981,2.206880812,0.9420485857,1.005449811,0.4134185772,0.4133656353,1.727866925,0.4305432714,0.3344902822,0.3514501632,0.14261466,0.6765263844,0.349438323,0.4284128997,0.2217172447,0.3026040446,0.2842130431
8,CSm,0.436021979,-0.04829672163,0.1774511243,-0.04017612936,-0.04256363892,0.7761674859,0.1406969826,-0.1532230253,0.1929311442,0.4288263282,-0.2242413584,0.3000669797,0.1390299022,0.1879663529,0.06245635999,0.5488994823,-0.2847579418,0.1064306783,0.08375703034,-0.02754702933,-0.01094895508,0.03349883724,0.02949267681,0.01559697077,0.8002240925,-0.01080859115,0.07000983008,0.008598388393,-0.00251830909,0.5533303088
9,CSm,0.8805749544,0.1786136065,0.3095823525,0.2130016678,0.7013356772,0.3412149864,0.04941533099,-0.0180727275,0.08273037862,0.06922998849,2.086527432,1.469419059,0.6602562962,-1.036717579,-0.4186911267,1.452481199,-0.1207771641,0.2380984662,0.2828792237,1.752661365,0.1416997572,0.1677455173,-0.07196768814,0.03898869873,0.8969159232,0.1036599953,0.04168630587,-0.01021842376,0.05565191588,0.1967061197
10,CSm,0.02155515381,-0.2163994732,-0.01501138404,0.5542067315,-0.4496451669,0.007397028493,-0.05305619742,-0.03073464687,-0.01564540205,-0.02923859814,-1.048654961,-0.2876769537,-0.2755317981,0.9498886743,1.3888284,-0.2077482126,-0.2318966661,-0.3129091744,-0.2586967864,-2.231237751,0.1453406859,-0.01593956925,0.06099645482,-0.0189705826,0.6058636512,-0.1038966856,-0.007708053079,0.06338174247,-0.09816234568,0.5562620191
11,CSm,0.4092077457,-0.09057939321,0.1730807172,0.3034618032,0.2905059921,0.6221432178,-0.04436494626,0.05222929227,0.3461769454,0.3934615962,-1.257939974,-0.4252269256,0.03457492584,0.6330333472,0.8281319765,0.5621035002,0.09746302936,0.0011277844,-0.4317505297,0.2045712136,0.3259939725,0.1948096984,0.05944495437,-0.1247937244,0.8246157454,0.2712550872,0.1982118926,0.06175179813,0.0494253844,0.728765193
12,CSm,0.3643382701,-0.0993093628,0.149735622,0.5214268321,0.485982101,0.6561095894,-0.02585471219,0.2319541307,0.4082827581,0.6719428814,-1.295188326,-0.1749279084,-0.1991679101,0.8836564123,0.9741321857,1.77505394,1.534515218,-0.1701800023,0.4637440068,0.7265502394,0.5561218227,0.2500483347,0.06487087265,0.0444123992,0.9689676006,0.3193036084,0.2560936723,0.04337407376,0.04665075296,0.6488373592
13,CSm,0.03705729414,0.01415405427,-0.03379278372,0.5704112712,1.456052894,-0.1936443265,0.0632230189,0.09237987363,-0.05265277077,0.7118978426,-0.001067732964,0.4112396494,-0.4938291518,-0.4723005486,0.8017215193,-0.1586169654,0.9190734483,-0.429249958,0.3520909464,0.006847514061,0.3976734733,0.1572642688,-0.07507168212,0.05426955344,1.2609581,0.2330216342,0.3078139042,0.05286861711,-0.01874374138,0.2434115365
14,CSm,0.4240542452,0.02217718069,0.003560872245,0.4249044432,0.02638810307,0.4242364404,-0.0603108929,0.1168246233,0.3417924548,0.1475727576,0.09900323833,-0.391155067,0.3478928249,1.152766912,1.091831408,0.01199729124,0.8743699348,0.4861381097,1.725729277,1.449954383,0.4259789741,0.3477482785,0.237429121,0.2412527196,0.5988273691,0.02940538436,0.1589045337,0.2356805754,0.2227839159,0.6247303192
15,CSm,0.3501495889,-0.3989258792,-0.3756099032,-0.4047696029,-0.6171316075,0.2495710556,-0.176676946,-0.09124507519,0.2137606581,0.2723570778,-2.577395837,-1.040698481,1.114563466,1.087420625,1.703281129,-1.521097051,-0.01429725118,0.877579195,1.36807409,2.181003965,-0.4526201628,0.3016720973,0.135626341,0.2158484118,1.118346065,-0.4199948541,0.3025177944,0.1517890665,0.2477318492,0.7882281426
16,CSm,0.6270173514,-0.04728246937,-0.07762146917,0.255854233,0.2559192969,0.5344747152,0.01847697226,0.1266013311,0.6713535772,0.5940524168,-0.3383294808,0.1090690984,1.355361644,0.9768471241,-0.01717682764,-0.218843175,0.3621447052,0.595966619,0.9192048471,0.346471742,0.1721309453,0.6080846313,0.1422991615,0.2984809582,0.7545098012,0.264528149,0.6982073687,0.007266946268,0.1548034767,0.9912099665
17,CSm,0.08773348272,0.1727937489,0.04511103325,0.4255114593,0.8410499765,0.106559121,-0.0005511174323,0.09426605806,0.6329011387,0.424398675,1.419151723,-0.007933488425,0.4423456257,-1.619880145,0.2836540377,0.3165646663,0.6772615873,0.3202181737,-0.07297115091,1.082834987,0.2161396726,0.3600411665,-0.09444232842,-0.007760230238,0.6816966539,0.4534062436,0.250574141,0.01388580385,0.08482131464,0.6639795923
18,CSm,0.1766252139,0.08440895391,0.03115515371,0.1635975463,0.4740439194,0.15348542,-0.001143202682,0.08528438077,0.4038154793,0.06892818952,0.7382122574,-0.01936515031,0.06238627266,-1.651465594,0.1165389937,0.1407968071,0.551693783,-0.0004148037777,1.185859182,0.8521509273,0.0711578648,0.1979498986,-0.08803903772,0.09280573451,0.4728277175,0.3361435037,0.05993570929,0.005332163948,0.1136634421,0.7966756977
19,CSm,-0.7686096368,0.07713203485,0.2619074243,0.920157117,1.050138399,-0.4214928321,-0.01663471881,-0.09262115106,-0.1545188521,-0.6530579005,0.9145833455,-0.342468759,0.5410030197,-0.9046858655,-0.3368988736,0.982083236,-0.6033127175,0.1968263333,1.34089377,1.116507216,0.4560548088,-0.1360921942,-0.03850650273,0.1842914012,0.9935433435,0.2621696288,-0.2967448142,-0.007353495858,0.0715379147,0.4493979594
20,CSm,1.073029969,-0.2804881011,0.1635675581,0.6362422287,0.5172158793,0.6269800989,-0.1510111686,0.10572227,0.1493626381,0.6290876806,-0.6043828179,-0.4354837509,0.1178371909,-0.5194883144,-1.491374193,0.2715402843,0.2643033429,0.06392454552,-0.3284940287,-1.504788156,0.1857348535,0.08190078643,-0.1093285554,-0.0613321783,0.3601149123,0.1528414841,0.2995077275,-0.2007847317,-0.2485736225,0.4429618767
21,CSm,0.2908713023,0.06790868098,0.08665077701,0.5710150938,0.9671397674,0.1401185687,-0.02155340643,-0.07128624827,0.126940498,0.3004228398,0.6755612835,-0.2721219217,0.4027563389,0.5178438865,-1.320420786,1.025237718,-1.035606548,0.5908992745,0.8577941515,-1.629324362,0.3910923798,0.1901456818,0.04089099519,0.04618830676,0.9013687237,0.3347110363,0.1639756928,-0.04914258078,-0.04921938419,0.3752236223
22,CSm,0.9724624758,-0.07716340122,0.06898981538,0.6891616164,1.996758389,0.5491431471,0.05306040979,0.08246041453,0.3985011372,0.5654885863,-0.5598327148,0.6919342961,0.3320499851,0.1844974185,0.3055469058,-0.002004848573,0.1269683154,0.04209147123,0.5277255645,-0.849906985,0.09429263024,0.08725305421,0.0163091734,0.05064551192,0.2355744933,0.2589342234,0.1027587815,-0.001623830511,-0.14997837,0.3512743666
23,CSm,-0.06395792891,-0.1050503592,0.08315375584,-0.1591136223,-0.1134274041,-0.06415369233,-0.08842029534,0.05702917455,0.01214735719,-0.1790061896,-0.3823145359,-0.7578335809,0.5150934582,1.612144874,0.3540797618,0.355863759,0.5528815129,0.6025273994,1.553972264,0.4128203434,-0.07891904185,0.01314492873,0.1627253769,0.1335310796,0.6894530622,-0.03164882397,-0.06898822218,0.009450253811,0.0097054417,0.2621271339
24,CSm,-0.147483266,0.05211968274,0.02879541089,0.1601477369,0.6817550257,-0.1133517826,-0.01806355644,-0.0631022676,0.08658738547,0.429598673,0.5732058208,-0.2942406519,0.2987762526,2.247718166,2.874955621,0.250922442,-1.037442209,0.2303886957,-0.8186404871,-1.221782603,0.0727552335,0.1127681728,0.09242301452,-0.04168618989,0.617748218,0.2495006104,0.3096908116,0.08827853318,-0.04885126655,0.5266196106
25,CSm,0.6012504395,0.1329767434,-0.130804776,0.2151900975,-0.09420422753,0.2512724169,0.2238760909,0.0525207831,0.06068717662,-0.2146723975,0.3939263228,1.504067462,0.2242607775,1.611143353,1.580179336,-0.3708799074,0.3306474843,0.2618387096,1.438804085,0.71984188,0.0432773332,0.01924898192,0.139078547,0.1180746977,0.6120316271,-0.02672587311,-0.1329103654,0.1357877991,0.05532180064,0.6522416988
26,CSm,0.8751670764,0.03828007836,-0.1376373795,0.137961746,0.2997820508,0.3410557405,0.03099280129,0.07045412585,0.298695007,0.3533419267,0.1509794344,0.391550758,0.1693231384,0.9184986354,1.272409196,-0.7659226842,0.9008232928,0.1931548189,1.759101385,1.47689301,0.2606126745,1.083029049,0.2528123831,0.4578561768,1.09698101,0.3303601865,0.9235388905,0.2443066331,0.2896051443,0.7696727982
27,CSm,0.8221577995,0.01951668428,0.03362661797,0.5979233802,1.229578861,0.2869075875,0.03278033722,-0.0420714653,0.3070115324,0.4644880126,0.3051752102,1.323304214,-0.0002488403915,0.4136899021,1.878808758,0.1190756106,-0.238586551,0.01400382787,-0.2899692075,-0.02394726828,0.5493551733,0.8161930413,0.02827240013,-0.07560677446,1.385938094,0.4899777381,0.5271622434,0.04741610445,-0.004922009598,0.5863195861
28,CSm,0.565508355,0.1273107582,0.09468193164,0.3882431381,0.5624170635,0.2086749101,0.08285600228,-0.0278952362,0.4288693182,0.2475989182,0.5730636015,0.7524330991,-0.2794812471,0.5506010921,0.6180666924,0.4558393713,-0.1094813125,-0.3107873749,-0.3245620316,-0.3529874569,0.2041129921,0.5699368557,0.07067654495,-0.04947498651,0.5342854273,0.2661965111,0.3006242259,0.0688023277,-0.0333367654,0.4590541106
29,CSm,0.7813561254,0.09627143906,0.150500708,-0.2309298893,-0.07445105467,0.6217623341,0.1357031447,0.1595040891,0.06406310992,0.06662686968,0.6641454354,1.065539424,1.24283666,1.052989735,1.468364124,0.5015272617,0.6661697217,0.5886978221,0.8971081589,1.123448454,-0.3197841316,0.334672942,0.4423724214,0.7958919447,1.16691038,0.03767683727,0.3194686523,0.4298611443,0.7036000241,0.8237172711
1,CSpACQ,0.828517908,0.3227102858,-0.2478091249,-0.1874141519,0.6131775361,0.3012628874,0.01207408301,0.1067101737,0.5334969699,0.7434242647,1.524251808,0.1524279338,-0.8951699723,-0.7360515788,0.329698782,-0.2304066384,0.2051595818,-0.1647052225,-0.8074621582,-0.735010793,-0.04487323274,0.3692289194,-0.04025265526,-0.2297230236,0.6154424492,0.1580847396,0.5069560248,0.0225799097,-0.1809830867,0.6517228874
2,CSpACQ,-0.2387131896,-0.02274868243,-0.3499242521,-0.669269596,-0.5974638251,-0.2364629237,-0.01366138188,-0.03283231801,0.2834374252,0.4601082926,-0.2001755479,-0.1602074903,0.03558036876,-0.2623972097,1.42042512,-1.589292613,-0.192698038,0.00878279801,-0.6999610687,0.5334245898,-0.2977725225,0.1371595573,-0.009761671045,-0.06361740022,0.8926144862,-0.2069735547,0.1497834475,0.05021517748,0.03999477509,0.5878616729
3,CSpACQ,0.3226184241,-0.03780398639,0.04169462777,0.530753583,0.2626088194,0.4322561607,0.2486506394,0.2243639239,0.6036520735,1.223454172,-0.2789364597,1.336111903,0.68511436,1.155554301,2.56663965,0.2560152324,0.897600085,0.5247877863,1.560696716,1.997567245,0.3172835468,0.2866817585,0.09742182406,0.1742693042,1.037629928,0.08832410368,0.3335991568,0.1303772252,0.1298453874,0.6211348765
4,CSpACQ,-0.2013764875,0.007170101381,-0.1557639312,0.2118289842,0.3550713873,-0.1469031372,0.06970450401,-0.2940838898,-0.5864423882,0.3852133885,0.02114567463,0.4762497081,0.1325061647,0.9589651719,1.586598618,-0.2152387836,-0.7503636795,0.001307600633,-0.3810124512,-0.8888237715,0.002420422684,-0.3373491322,0.06126280977,-0.07795231277,0.4811911269,0.02407525686,0.11201536,0.07413636637,-0.1160687051,0.2965035625
5,CSpACQ,0.3447063179,0.07327585412,-0.08732130364,0.9152373869,0.6392661179,0.2354344674,0.06676839225,-0.2222306747,0.4940508483,0.344015222,0.3760856766,0.5309636136,0.130250877,1.407305215,1.021153333,-0.1598718359,-0.6174955199,0.03996645263,0.001679485241,-0.1839792736,0.5083771743,0.4010541783,0.1417602899,-0.003495054006,0.8284276442,0.2532578004,0.1958437543,0.07287790128,-0.04478892714,0.6068839405
6,CSpACQ,-0.4237402787,-0.008270213577,0.1295836341,0.09666892654,0.3880596815,-0.5218200703,-0.03295504053,-0.001687545641,0.5216435188,0.5207278466,-0.6169792464,-1.549562992,-0.2805231655,2.42007082,1.202078525,1.050776833,-0.036012321,-0.04616024523,1.508813224,3.098269805,0.01157596391,0.2611246598,0.02451443037,0.100012593,0.8812868028,0.1240749903,0.18023404,0.008639044343,0.1335772725,0.6162528312
7,CSpACQ,1.172033722,0.2673416536,-0.0007976017373,1.660370586,1.244114838,0.8708581822,0.2158940563,-0.2731602413,1.42389624,1.122400976,0.4136931976,0.4481326632,0.4148513516,1.492601528,1.083674679,0.0100455177,-0.2359640943,0.2216759449,-0.3732250024,0.1497451465,0.456804789,0.5200844594,0.2599010773,-0.1495876106,0.6557842406,0.4818951347,0.5835842153,0.2600324643,0.1050752055,0.9679403906
8,CSpACQ,0.1937031802,0.01061747753,-0.05182417882,0.3565097118,0.3477680277,0.7793517893,0.1276857884,0.2545300259,0.6153636555,0.3499286542,0.07479115107,0.7638163067,-0.2625711665,0.9530181478,1.43437482,-0.3954254869,0.5910753612,-0.1035685376,0.3475642863,0.2986202598,0.8681166728,0.3624950449,0.09115530355,0.08527407886,0.9401985656,0.7741916342,0.1838424976,0.123892746,0.06667603466,0.8486475182
9,CSpACQ,-0.03819630371,-0.1999957389,0.2686146107,0.7892264776,1.058649183,-0.03087510038,-0.1737423289,-0.3254896104,0.2916817009,0.1488426265,-0.5273078478,-0.7805147752,0.1624011976,0.5837220496,0.08186149123,0.2127549288,-0.6203714515,-0.08294365523,0.5352615179,0.5912080822,0.1847283364,0.104057359,0.03373526452,0.1589635734,0.6685984536,0.1708657089,0.02730210774,-0.006884156675,0.1129746603,0.4418661858
10,CSpACQ,-0.1223037195,-0.1265803055,-0.09988738896,0.2241741457,0.503514213,-0.08895063831,-0.02008210021,-0.06333984365,-0.2661075171,-0.1523611038,-1.263947763,-0.2603978605,0.167432306,-0.2303143836,0.4464432264,-0.8114925009,-0.5656904698,0.1845981512,1.643856935,4.408398672,0.1883280115,-0.2007324999,-0.02456075717,0.1411415469,1.234038454,0.1100226138,-0.07345480164,0.008874370368,0.1263227037,0.3130819399
11,CSpACQ,0.3435663508,-0.0462537763,0.003052843133,0.08686035913,0.4237557082,0.2409076876,-0.0078766585,-0.07870816229,0.6449518728,0.5746703318,-0.186884816,-0.04199266854,-0.1630536097,0.8649250707,0.02953005537,-0.004508845416,-0.3875504533,-0.1158289751,0.5652428382,1.191774814,0.03091831017,0.5791329759,0.1282644851,0.1196866116,0.9390263998,0.2104609003,0.4189947046,0.004473688893,0.2043625839,0.7667463565
12,CSpACQ,0.5986852372,0.06404119554,0.1239970579,0.6560488919,0.5084283853,0.6468904301,-0.1129636226,-0.1433816547,0.4085103545,0.2763504307,0.3756252094,-0.6274976298,0.07689298341,-0.4355178488,-1.39900186,0.5235980197,-0.5285392276,0.07082608804,0.1685138197,0.09109211502,0.6530487519,0.3676129158,-0.07176665195,0.04946449731,1.169287827,0.2687891218,0.150307288,-0.1180452306,0.0281469757,0.6523768761
13,CSpACQ,0.4328112986,0.1267677522,-0.01572235478,0.6288877653,0.7336696042,0.2195074133,0.1417844757,0.06813298674,0.5486486653,1.639567427,0.3855906551,0.6172213601,0.185140535,0.8782976899,0.5611910245,-0.1053202366,0.1578042367,0.09583714352,0.9482256516,1.234014619,0.1225087633,0.2139783699,0.08890702213,0.1561756944,1.005315658,0.006127917275,0.2566810085,0.02063769465,0.07886621303,0.3344333187
14,CSpACQ,0.5365339302,-0.0546633433,-0.3241927318,0.1126497279,0.08132827241,0.4644285581,-0.04978782082,-0.1921657772,0.2952311328,0.1173434784,-0.9028684362,-0.9282881408,0.7373066171,1.013827589,2.764180572,-2.174983695,-1.412318605,0.245854869,-0.143413796,0.907043565,0.1045825849,0.3012845552,0.0436407225,-0.01396721258,0.3600861632,0.06181733514,0.1294234886,0.1463926895,0.126372256,0.3388277308
