Phase,Label,Category,H1,H2,H3,H4
EXT,L_Amygdala_to_L_BA32,Amygdala-vmPFC,5.14 (0.347),6.23 (0.421),1.17 (0.079),1.26 (0.085)
EXT,L_Amygdala_to_R_Amygdala,Intra-amygdala,9.82 (0.431),7.33 (0.321),1.74 (0.076),2.91 (0.128)
EXT,L_Amygdala_to_R_BA25,Amygdala-vmPFC,12.88 (0.45),6.31 (0.221),2.28 (0.08),6.12 (0.214)
EXT,L_Amygdala_to_R_BA32,Amygdala-vmPFC,7.9 (0.333),4.43 (0.186),2.8 (0.118),7.62 (0.321)
EXT,L_BA25_to_L_BA32,Intra-vmPFC,15.24 (0.519),4.76 (0.162),1.75 (0.06),6.63 (0.226)
EXT,L_BA25_to_R_Amygdala,vmPFC-Amygdala,18.37 (0.685),3.37 (0.126),0.67 (0.025),3.42 (0.127)
EXT,L_BA25_to_R_BA25,Intra-vmPFC,4.38 (0.694),0.51 (0.081),0.05 (0.008),0.38 (0.059)
EXT,L_BA32_to_L_Amygdala,vmPFC-Amygdala,15.61 (0.635),4.49 (0.183),0.8 (0.033),2.69 (0.11)
EXT,L_BA32_to_L_BA25,Intra-vmPFC,9.67 (0.566),4.19 (0.246),0.64 (0.037),1.58 (0.092)
EXT,L_BA32_to_R_Amygdala,vmPFC-Amygdala,14.34 (0.704),2.69 (0.132),0.39 (0.019),1.95 (0.096)
EXT,L_BA32_to_R_BA25,Intra-vmPFC,10.35 (0.622),3.35 (0.201),0.5 (0.03),1.45 (0.087)
EXT,L_BA32_to_R_BA32,Intra-vmPFC,18.96 (0.616),5.08 (0.165),1.18 (0.038),4.57 (0.148)
EXT,R_Amygdala_to_L_Amygdala,Intra-amygdala,6.79 (0.298),7.65 (0.336),3.08 (0.135),4.25 (0.186)
EXT,R_Amygdala_to_L_BA25,Amygdala-vmPFC,16.2 (0.667),3.83 (0.158),0.64 (0.027),2.59 (0.107)
EXT,R_Amygdala_to_L_BA32,Amygdala-vmPFC,7.28 (0.444),5.59 (0.341),1.02 (0.062),1.51 (0.092)
EXT,R_Amygdala_to_R_BA32,Amygdala-vmPFC,7.37 (0.421),6.19 (0.354),1.22 (0.07),1.7 (0.097)
EXT,R_BA25_to_L_Amygdala,vmPFC-Amygdala,11.43 (0.446),3.81 (0.149),1.96 (0.076),7.41 (0.289)
EXT,R_BA25_to_L_BA25,Intra-vmPFC,6.62 (0.702),1.05 (0.112),0.12 (0.012),0.64 (0.067)
EXT,R_BA25_to_L_BA32,Intra-vmPFC,12.85 (0.552),5.72 (0.246),1.05 (0.045),2.64 (0.114)
