Variable,Variable_name,Variable_category,SCR_EXT_CSpR_b,SCR_EXT_CSpR_p,SCR_EXT_CSpNR_b,SCR_EXT_CSpNR_p,SCR_EXT-RE_CSpR_b,SCR_EXT-RE_CSpR_p,SCR_EXT-RE_CSpNR_b,SCR_EXT-RE_CSpNR_p,SCR_REN_CSpR_b,SCR_REN_CSpR_p,SCR_REN_CSpNR_b,SCR_REN_CSpNR_p,Rating_EXT_CSpR_b,Rating_EXT_CSpR_p,Rating_EXT_CSpNR_b,Rating_EXT_CSpNR_p,Rating_EXT-RE_CSpR_b,Rating_EXT-RE_CSpR_p,Rating_EXT-RE_CSpNR_b,Rating_EXT-RE_CSpNR_p,Rating_REN_CSpR_b,Rating_REN_CSpR_p,Rating_REN_CSpNR_b,Rating_REN_CSpNR_p
Connection_1_delta,L_Amygdala_to_R_Amygdala,Intra-amygdala,-0.115,0.605,-0.09,0.647,-0.267,0.23,-0.115,0.556,0.073,0.741,0.35,0.075,-1.04,0.287,-0.823,0.301,0.208,0.831,-0.524,0.51,0.791,0.418,-0.004,0.996
Connection_3_delta,L_Amygdala_to_R_BA25,Amygdala-vmPFC,-0.071,0.849,-0.387,0.185,-0.195,0.602,-0.192,0.51,0.278,0.458,0.354,0.225,-1.875,0.227,-1.14,0.347,0.203,0.896,-0.452,0.709,-1.188,0.443,-0.765,0.528
Connection_4_delta,L_Amygdala_to_L_BA32,Amygdala-vmPFC,-0.133,0.349,-0.012,0.941,-0.192,0.176,-0.034,0.834,-0.053,0.707,0.177,0.269,0.406,0.497,0.869,0.185,-0.036,0.952,-0.319,0.625,-0.318,0.595,0.171,0.794
Connection_5_delta,L_Amygdala_to_R_BA32,Amygdala-vmPFC,-0.027,0.824,0.009,0.929,-0.048,0.697,-0.012,0.901,0.07,0.568,0.082,0.401,-0.528,0.315,-0.19,0.637,0.022,0.966,-0.092,0.82,0.187,0.721,0.215,0.592
Connection_6_delta,R_Amygdala_to_L_Amygdala,Intra-amygdala,-0.134,0.585,-0.11,0.592,-0.305,0.214,-0.035,0.867,0.116,0.636,0.345,0.096,-1.08,0.286,-0.96,0.219,0.041,0.968,-0.206,0.791,0.456,0.651,0.115,0.883
Connection_7_delta,R_Amygdala_to_L_BA25,Amygdala-vmPFC,-0.101,0.87,-0.014,0.976,0.165,0.79,0.228,0.636,0.261,0.674,0.162,0.737,-1.267,0.617,-2.346,0.231,-0.366,0.885,-0.58,0.767,-4.172,0.101,-1.6,0.414
Connection_9_delta,R_Amygdala_to_L_BA32,Amygdala-vmPFC,-0.073,0.63,-0.268,0.035,-0.052,0.731,-0.168,0.185,-0.134,0.379,0.091,0.471,-0.639,0.31,-0.397,0.452,0.144,0.819,0.035,0.948,0.179,0.776,0.46,0.383
Connection_10_delta,R_Amygdala_to_R_BA32,Amygdala-vmPFC,-0.064,0.582,-0.216,0.04,-0.131,0.265,-0.165,0.115,-0.096,0.411,0.095,0.365,-0.336,0.492,-0.461,0.285,0.102,0.835,0.037,0.931,-0.185,0.704,-0.295,0.493
Connection_12_delta,L_BA25_to_R_Amygdala,vmPFC-Amygdala,0.046,0.609,0.063,0.385,0.07,0.44,0.114,0.116,0.017,0.855,0.044,0.544,-0.21,0.559,-0.175,0.563,-0.083,0.818,0.022,0.942,-0.711,0.049,-0.267,0.379
Connection_13_delta,L_BA25_to_R_BA25,Intra-vmPFC,-0.056,0.632,0.045,0.678,0.017,0.882,0.072,0.501,0.017,0.885,-0.145,0.177,-0.107,0.819,0.299,0.472,0.003,0.995,0.001,0.998,-0.249,0.594,-0.291,0.483
